split,source_file,run_index,n_samples,BL_DeadZone_cmd,BL_DeadZone_zc,BL_ReversalErr_cmd,BL_ReversalErr_zc,BL_HystArea,BL_DirFE_Asym,STIFF_TorqueSlope,STIFF_ComplStd,PosFE_Slope,FR_Coulomb,FR_Viscous,FE_RMS,FE_Max,n_cmd_reversals,n_zero_crossings
train,train_load0_1e_m15_200x5.csv,1,299951,0.0,0.0,8.50693034343601,3.8943737106362937,0.004335779760155015,2.1931581157307525,-0.9251627362885064,0.014416526176076964,0.2947477636732198,2.3461190075497362,-0.06320458350285708,3.6465592807996554,13.866289549022014,1,7
train,train_load0_1e_m15_200x5.csv,2,299951,0.0,0.0,11.835279423378495,4.53728590674524,0.007582988884186614,3.023221106468632,-0.7745159926189314,0.01535580125339766,0.6087448177374718,2.363907109955237,-0.0709546749602211,4.2221201853565296,16.558036633336997,2,8
train,train_load0_1e_m15_200x5.csv,3,299951,0.0,0.0,9.31662659472704,6.037256794972635,0.018218461420150447,4.268610333652267,-0.7045849575674876,0.007181370144229826,0.9871553042377248,2.4327477911132847,-0.1030488024791854,4.932323697387232,19.486614868631023,2,8
train,train_load0_1e_m15_200x5.csv,4,299951,0.0,0.0,5.64901426798599,3.041701196322401,0.005887501478655414,3.880475097122661,-0.8800942157573659,0.014458380784562724,1.3594606491556616,2.201566298290702,-0.07038913529574363,3.6852157000446213,15.679579872312019,1,10
train,train_load0_1e_m15_200x5.csv,5,299951,0.0,0.0,14.492839238198997,6.436578888232631,0.004436803620541469,2.47336109401488,-0.6364371498538175,0.016965515423738912,0.7731385084937143,2.5972434069746213,-0.12043044484140802,5.525012068605549,19.559060206889,1,8
train,train_load0_1e_m15_200x5.csv,6,299951,0.0,0.0,17.765847766416982,2.8753315368013355,0.012602151430013517,0.6856579221207078,-0.5686995717199904,0.011345279875911456,0.37483948592168825,2.7059559800135857,-0.13116910229900786,6.282878312519685,19.162219266534976,3,6
train,train_load0_1e_m15_200x5.csv,7,299951,,0.0,,7.90570509225729,0.019808635953752003,6.472468974256934,-0.7581200828445684,0.008193225540177831,1.5901117540312775,2.6477232312403953,-0.12451180123335258,5.663407000000273,18.249894836667977,0,10
train,train_load0_1e_m15_200x5.csv,8,299951,0.0,0.0,11.671101024484528,5.415353329558869,0.012391345870102143,0.07474872309345226,-0.6481750506562524,0.007144858973485773,0.7370382742848796,2.352251415134313,-0.11769833850142736,4.968375620078643,19.014364200622026,2,8
train,train_load0_1e_m15_200x5.csv,9,299951,0.0,0.0,12.547804112359529,5.051290200179125,0.019661147467807113,2.3649944424992957,-0.7823510494519459,0.006195952419231398,0.6314730939953934,2.4553062133902754,-0.1083087580161081,4.443681101823176,15.808528391619006,2,8
train,train_load0_1e_m15_200x5.csv,10,299951,0.0,0.0,8.73452243184397,5.460385086644237,0.018231148963030172,0.9445726773427925,-0.5842688959918472,0.010623083473843348,0.4171464958957645,2.478107446717658,-0.10817929672200925,5.4506223094739115,19.905078803337062,1,8
train,train_load0_1e_m15_200x5.csv,11,299951,0.0,0.0,8.936588519181953,2.6068179786448504,0.020446450141869525,0.47185482381917154,-0.7019084213377745,0.006716497208407264,0.551177003122179,2.3755681059568032,-0.11509031051174907,4.617907712852784,18.796934136493974,2,6
train,train_load0_1e_m15_200x5.csv,12,299951,0.0,0.0,12.376855067449677,3.5195368757167182,0.008081026499912628,1.4701939223060179,-0.8082152162557267,0.012267048114687666,0.6170166325041168,2.417341401344615,-0.07992233631597728,4.17597137206029,16.242125158034014,3,7
train,train_load0_1e_m15_200x5.csv,13,299951,0.0,0.0,12.05249745514999,5.458651304823626,0.004929088114584106,0.5761129180765243,-0.7438982378198408,0.01094388097971301,0.19092519965641427,2.4598240003954066,-0.07980896431864468,4.480679353576105,15.800415415287034,1,8
train,train_load0_1e_m15_200x5.csv,14,299951,0.0,0.0,10.545069464851963,3.7616653090694205,0.020420811035936,0.9664742481620796,-0.9153991614827567,0.004240534932382847,0.3741589560700417,2.337127108396918,-0.0770266127452307,3.574683202371078,13.957005269911974,2,7
train,train_load0_1e_m15_200x5.csv,15,299951,0.0,0.0,8.887326683585997,5.640691073085707,0.00978286830890997,2.234021928430193,-0.6135715118731186,0.01687829119402965,0.334758654167056,2.531280205790044,-0.10810329546851392,5.492675557325974,19.51084494326301,2,7
train,train_load0_1e_m15_200x5.csv,16,299951,0.0,0.0,16.30314876480699,1.7778229658475009,0.006174439888332803,0.2650400857368238,-0.6231158566903265,0.014208746596454035,0.4807269098207997,2.481034622625975,-0.12107578110984116,5.2960779892176495,19.98327234485197,2,6
train,train_load0_1e_m15_200x5.csv,17,299951,,0.0,,3.974750392675219,0.006784160333244241,0.8829552556429996,-1.1698919287112752,0.006661848380520622,0.07750428520213208,2.1700785128910796,-0.10581867045524765,2.666216008668413,9.463629189471021,0,9
train,train_load0_1e_m15_200x5.csv,18,299951,,0.0,,6.6475682059720045,0.012438131771076645,5.549460246633366,-0.7704993652800827,0.007328848609926645,0.4037604172655635,2.4160980809039896,-0.12156415449605935,4.913269288781851,19.953718521186943,0,10
train,train_load0_1e_m15_200x5.csv,19,299951,0.0,0.0,13.29954401898199,5.457995378134374,0.003406067544661852,4.483063629387246,-0.6789026836492492,0.02235743022406716,0.5096807696849507,2.426911328278481,-0.11931555585671912,5.263230116247246,18.121382173791005,2,8
train,train_load0_1e_m15_200x5.csv,20,299951,0.0,0.0,11.349713735321018,5.2081072478123716,0.004508650491944039,4.589399321736792,-0.8437826277088954,0.017056793525730512,0.7167028806558107,2.4452955884097864,-0.07557725634021899,4.438023286438241,15.664218233875033,2,8
train,train_load0_1e_m15_200x5.csv,21,299951,0.0,0.0,11.180646131753576,2.9049239958449755,0.006914192240225735,0.6830395578097028,-0.8846279913717437,0.006464509519570268,0.46649412678482965,2.3151346198776346,-0.04856358160978723,3.645889174500023,14.34096659290708,2,7
