time,DV,rod_demand_pos,rod_actual_pos,torque,rotor_speed,i_3p_a,i_3p_b,i_3p_c,direct,quadrature,run_index,transitions,del_pos,ylabel
0.001,375.154570418962,906.138033348806,918.999999999975,-0.0003023600472887,-6.28122732419338e-07,-0.0002879619497988,0.0001439809753188,0.0001439809744799,-4.780311240884269e-13,-0.0002879619497988,201,1202,-12.861966651194052,LO
0.00218,375.154570418962,906.138033348806,918.999969319459,-4.61700484272006,-0.239538083988987,-4.39714747223082,2.19857258531091,2.19857488691991,0.0001617178719512,-4.3971474692572,201,1202,-12.861966651194052,LO
0.00336,375.154570418962,906.138033348806,918.999718838775,-10.3298469477808,-1.08205049529768,-9.83795006623995,4.91895046831899,4.91899959792096,0.0034135238670029,-9.83794947407691,201,1202,-12.861966651194052,LO
0.00454,375.154570418962,906.138033348806,918.999041365275,-12.7065400742179,-2.35394956539981,-12.1014753141407,6.050676288202,6.05079902593869,0.0144079346655489,-12.1014667373503,201,1202,-12.861966651194052,LO
0.00572,375.154570418962,906.138033348806,918.997806664006,-13.5454282167402,-3.86639340788761,-12.9004603661655,6.4487382624414,6.45172210372414,0.0368586951833243,-12.9004078254669,201,1202,-12.861966651194052,LO
0.0069,375.154570418962,906.138033348806,918.995963171245,-13.0422816682495,-5.42009887141148,-12.421453165824,6.19770889083027,6.22374427499377,0.0774764416354353,-12.4212206364281,201,1202,-12.861966651194052,LO
0.00808,375.154570418962,906.138033348806,918.993522552257,-12.5290145682008,-6.90221319113936,-11.9330112256412,5.94221297327025,5.99079825237095,0.12448875599359,-11.9323948268579,201,1202,-12.861966651194052,LO
0.00926,375.154570418962,906.138033348806,918.990520102586,-11.7389630934533,-8.2780491787759,-11.1751784119946,5.99491067453367,5.18026773746088,-0.337953908118794,-11.179964850908,201,1202,-12.861966651194052,LO
0.01044,375.154570418962,906.138033348806,918.9869975545,-11.5317803798518,-9.55870089106676,-10.9837973208688,5.50800943338629,5.47578788748254,0.159978096982924,-10.9826479808113,201,1202,-12.861966651194052,LO
0.01162,375.154570418962,906.138033348806,918.982986439471,-11.2832454142382,-10.7678383178634,-10.7572940904387,5.01624138526893,5.74105270516976,0.64737515234034,-10.7459480135602,201,1202,-12.861966651194052,LO
0.0128,375.154570418962,906.138033348806,918.978508937966,-10.7791503039615,-11.9370299641789,-10.2804573042806,4.79003237167734,5.49042493260322,0.68080110437356,-10.2658574323443,201,1202,-12.861966651194052,LO
0.01398,375.154570418962,906.138033348806,918.973574517679,-10.8137470188294,-13.0940561700606,-10.3181881302764,4.79975635275439,5.51843177752203,0.756142813064051,-10.2988066845995,201,1202,-12.861966651194052,LO
0.01516,375.154570418962,906.138033348806,918.968181823317,-10.8575702887431,-14.2693306817061,-10.3299320330035,5.57388260345264,4.75604942955088,-0.0601157689681624,-10.3405431321363,201,1202,-12.861966651194052,LO
0.01634,375.154570418962,906.138033348806,918.962321603465,-11.9128062596372,-15.4708298219486,-11.3367880863926,6.06062028041738,5.27616780597525,0.0827056475030721,-11.345529771083,201,1202,-12.861966651194052,LO
0.01752,375.154570418962,906.138033348806,918.955984934732,-10.5956056025278,-16.6887709680921,-10.0583299370885,5.7834345009021,4.27489543618641,-0.314983740709523,-10.0910529547884,201,1202,-12.861966651194052,LO
0.0187,375.154570418962,906.138033348806,918.949168461259,-11.3831273019024,-17.9061993339541,-10.7812183619237,6.50217724006572,4.27904112185799,-0.594337318318649,-10.8410736208595,201,1202,-12.861966651194052,LO
0.01988,375.154570418962,906.138033348806,918.941873021398,-11.7849517165633,-19.1286088917673,-11.2260092498759,5.94074371165868,5.28526553821723,0.440037382223756,-11.2237635395841,201,1202,-12.861966651194052,LO
0.02106,375.154570418962,906.138033348806,918.93409470755,-11.4744962201133,-20.3536243079247,-10.9010386331455,6.12466170501151,4.77637692813395,0.124151956153878,-10.9280916382032,201,1202,-12.861966651194052,LO
0.02224,375.154570418962,906.138033348806,918.92583697755,-11.1612530726846,-21.5716178185706,-10.5674478557398,6.29069843417234,4.27674942156744,-0.176212070567242,-10.6297648311282,201,1202,-12.861966651194052,LO
0.02342,375.154570418962,906.138033348806,918.917101495193,-10.5400424858279,-22.7869465791016,-9.97631397511977,5.95356877516375,4.02274519995602,-0.0732489516486177,-10.0381357007885,201,1202,-12.861966651194052,LO
0.0246,375.154570418962,906.138033348806,918.907887644519,-11.1462551423721,-24.0031416794719,-10.6144675928356,5.84653166533143,4.76793592750421,0.605205038635642,-10.6154810879734,201,1202,-12.861966651194052,LO
0.02578,375.154570418962,906.138033348806,918.898195042,-11.3255711612129,-25.2189841228807,-10.7480879734911,6.2287953672235,4.51929260626759,0.390078590235837,-10.7862582487742,201,1202,-12.861966651194052,LO
0.02696,375.154570418962,906.138033348806,918.888023474063,-10.9834555671292,-26.4364631453878,-10.373444724273,6.35681864328053,4.01662608099243,0.114799983113047,-10.4604338734564,201,1202,-12.861966651194052,LO
0.02814,375.154570418962,906.138033348806,918.877376420156,-10.9639867661634,-27.6389634057632,-10.23630701685,6.96322085854426,3.27308615830575,-0.536563945216338,-10.4418921582509,201,1202,-12.861966651194052,LO
0.02932,375.154570418962,906.138033348806,918.866254244675,-10.8020617801191,-28.8515679506074,-10.0866918051715,6.82010019981149,3.26659160536,-0.337899985566192,-10.2876778858277,201,1202,-12.861966651194052,LO
0.0305,375.154570418962,906.138033348806,918.854657462199,-11.4721786658245,-30.0582715784069,-10.6731327269316,7.38864052540919,3.28449220152244,-0.394321128473627,-10.9258844436423,201,1202,-12.861966651194052,LO
0.03168,375.154570418962,906.138033348806,918.842584988707,-11.6081398257402,-31.2627725470848,-10.7393253067349,7.6858627056288,3.05346260110613,-0.514701725145628,-11.0553712626097,201,1202,-12.861966651194052,LO
0.03286,375.154570418962,906.138033348806,918.830036947869,-11.05016459359,-32.47920509283,-10.3096557920991,6.98743685281375,3.32221893928531,0.114355068768858,-10.5239662796095,201,1202,-12.861966651194052,LO
0.03404,375.154570418962,906.138033348806,918.817013364004,-11.0221211348357,-33.6837371523912,-10.1149629695062,7.52215496757302,2.59280800193321,-0.468543306057779,-10.497258223653,201,1202,-12.861966651194052,LO
0.03522,375.154570418962,906.138033348806,918.803515126919,-11.1461040638751,-34.888936901737,-10.1620189109654,7.77986004602658,2.38215886493884,-0.54126741283749,-10.6153372036906,201,1202,-12.861966651194052,LO
0.0364,375.154570418962,906.138033348806,918.789544020228,-11.523657114974,-36.0898603819995,-10.6884571031029,7.52411565085431,3.16434145224855,0.360983375434236,-10.9749115380705,201,1202,-12.861966651194052,LO
